Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
16-01-2026 17:21:06;277652414;Vendita;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;300.0;202.70;216.23;0.00;60593.77;81747.92;CHF
15-01-2026 15:24:00;277493870;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;50.0;204.35;34.69;0.00;-10252.19;21154.15;CHF
15-01-2026 15:22:35;00000000;Versamento;;;;1.0;30000.00;0.00;0.00;30000.00;31406.34;CHF
14-01-2026 10:24:30;277332428;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;150.0;206.48;86.23;0.00;-31058.23;1406.34;CHF
14-01-2026 10:23:59;00000000;Versamento;;;;1.0;2000.00;0.00;0.00;2000.00;32464.57;CHF
13-01-2026 11:46:26;277210874;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;100.0;195.00;55.06;0.00;-19555.06;30464.57;CHF
13-01-2026 11:40:31;00000000;Versamento;;;;1.0;50000.00;0.00;0.00;50000.00;50019.63;CHF
05-01-2026 12:52:53;00000000;Prelevamento;;;;1.0;19900.00;0.00;0.00;-19900.00;19.63;CHF
05-01-2026 12:24:42;276200313;Vendita;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;115.0;170.70;79.16;0.00;19551.34;19919.63;CHF
05-01-2026 09:03:08;275548957;Acquisto;ZSIL;"Swisscanto Silver ETF-A CHF";CH0183135976;115.0;171.10;37.21;0.00;-19713.71;368.29;CHF
01-01-2026 17:38:56;00000000;Versamento;;;;1.0;20100.00;0.00;0.00;20100.00;20082.00;CHF
01-01-2026 06:42:08;00000000;Diritti di deposito;;;;1.0;18.00;0.00;0.00;-18.00;-18.00;CHF
