Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
22-08-2025 21:49:48;253911136;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.04;0.00;0.00;0.04;2009.80;USD
22-08-2025 21:49:45;253911136;Vendita;AAPL;APPLE ORD;US0378331005;8.0;228.0302;12.78;0.00;1811.46;2009.76;USD
18-08-2025 21:57:21;253101360;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;231.255;6.39;0.00;-931.41;2330.36;USD
18-08-2025 15:45:20;253058025;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;231.8897;6.39;0.00;-933.95;6998.26;USD
27-06-2025 21:56:04;242473174;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.04;0.00;0.00;0.04;2131.10;USD
27-06-2025 21:56:03;242473174;Vendita;AAPL;APPLE ORD;US0378331005;9.0;201.13;12.76;0.00;1797.41;2131.06;USD
24-06-2025 21:51:29;241852425;Acquisto;AAPL;APPLE ORD;US0378331005;9.0;200.4799;12.71;0.00;-1817.03;1162.93;USD
20-06-2025 16:35:29;241204010;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.18;0.00;0.00;0.18;7944.25;USD
20-06-2025 16:35:28;241204010;Vendita;AAPL;APPLE ORD;US0378331005;40.0;198.25;42.08;0.00;7887.92;7944.07;USD
13-06-2025 21:40:14;240226031;Acquisto;AAPL;APPLE ORD;US0378331005;8.0;196.2698;12.36;0.00;-1582.52;56.15;USD
13-06-2025 21:39:17;240225478;Acquisto;AAPL;APPLE ORD;US0378331005;5.0;196.33;8.47;0.00;-990.12;1638.67;USD
13-06-2025 21:39:17;240225478;Acquisto;AAPL;APPLE ORD;US0378331005;2.0;196.33;3.59;0.00;-396.25;2628.79;USD
12-06-2025 18:42:30;240011244;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;198.8699;6.19;0.00;-801.67;105.59;USD
12-06-2025 15:31:10;239943748;Acquisto;AAPL;APPLE ORD;US0378331005;3.0;198.45;2.89;0.00;-598.24;48.61;USD
12-06-2025 15:31:10;239943748;Acquisto;AAPL;APPLE ORD;US0378331005;2.0;198.45;3.60;0.00;-400.50;646.85;USD
12-06-2025 15:30:08;239944468;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;199.00;6.19;0.00;-802.19;1047.35;USD
09-06-2025 19:38:53;239444861;Acquisto;AAPL;APPLE ORD;US0378331005;3.0;201.20;2.91;0.00;-606.51;263.41;USD
09-06-2025 19:38:53;239444861;Acquisto;AAPL;APPLE ORD;US0378331005;1.0;201.20;3.30;0.00;-204.50;869.92;USD
09-06-2025 18:47:43;239441845;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;204.6399;6.23;0.00;-824.79;257.06;USD
09-06-2025 15:30:15;239379695;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;204.34;7.08;0.00;-824.44;178.35;USD
05-06-2025 19:44:02;238798816;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.02;0.00;0.00;0.02;2643.92;USD
05-06-2025 19:44:00;238798816;Vendita;AAPL;APPLE ORD;US0378331005;3.0;202.76;2.93;0.00;605.35;2643.90;USD
05-06-2025 19:44:00;238798816;Vendita;AAPL;APPLE ORD;US0378331005;1.0;202.76;3.31;0.00;199.45;2038.55;USD
05-06-2025 19:02:16;238796894;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.01;0.00;0.00;0.01;895.90;USD
05-06-2025 19:02:12;238796894;Vendita;AAPL;APPLE ORD;US0378331005;2.0;201.7002;3.62;0.00;399.78;895.89;USD
05-06-2025 19:00:07;238796793;Acquisto;AAPL;APPLE ORD;US0378331005;2.0;201.7198;3.61;0.00;-407.05;496.11;USD
27-05-2025 15:30:12;237106426;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;198.28;6.19;0.00;-799.31;11.54;USD
15-05-2025 12:45:58;00000000;Dividendo;AAPL;APPLE ORD;US0378331005;1.0;2.86;0.86;0.00;2.00;33.01;USD
13-05-2025 15:33:54;234220653;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.02;0.00;0.00;0.02;2471.67;USD
13-05-2025 15:33:44;234185795;Rettif. costi Borsa;AAPL;APPLE ORD;US0378331005;1.0;0.03;0.00;0.00;0.03;2471.65;USD
13-05-2025 15:30:24;234220653;Vendita;AAPL;APPLE ORD;US0378331005;5.0;210.5008;11.60;0.00;1040.90;2471.62;USD
13-05-2025 15:30:21;234185795;Vendita;AAPL;APPLE ORD;US0378331005;6.0;210.39;12.77;0.00;1249.57;1430.72;USD
05-05-2025 18:54:29;232744847;Acquisto;AAPL;APPLE ORD;US0378331005;4.0;199.8396;6.20;0.00;-805.56;151.15;USD
05-05-2025 16:27:55;232407104;Acquisto;AAPL;APPLE ORD;US0378331005;5.0;199.00;8.49;0.00;-1003.49;956.71;USD
05-05-2025 16:27:55;232407104;Acquisto;AAPL;APPLE ORD;US0378331005;2.0;199.00;3.60;0.00;-401.60;1960.20;USD
