date,quantity,price
2025-05-05,2.0,199.0
2025-05-05,5.0,199.0
2025-05-05,4.0,199.8396
2025-05-13,-6.0,210.39
2025-05-13,-5.0,210.5008
2025-05-27,4.0,198.28
2025-06-05,2.0,201.7198
2025-06-05,-2.0,201.7002
2025-06-05,-1.0,202.76
2025-06-05,-3.0,202.76
2025-06-09,4.0,204.34
2025-06-09,4.0,204.6399
2025-06-09,1.0,201.2
2025-06-09,3.0,201.2
2025-06-12,4.0,199.0
2025-06-12,2.0,198.45
2025-06-12,3.0,198.45
2025-06-12,4.0,198.8699
2025-06-13,2.0,196.33
2025-06-13,5.0,196.33
2025-06-13,8.0,196.2698
2025-06-20,-40.0,198.25
2025-06-24,9.0,200.4799
2025-06-27,-9.0,201.13
2025-08-18,4.0,231.8897
2025-08-18,4.0,231.255
2025-08-22,-8.0,228.0302
