date,quantity,price,currency
2025-05-05 16:27:55,2.0,199.0,USD
2025-05-05 16:27:55,5.0,199.0,USD
2025-05-05 18:54:29,4.0,199.8396,USD
2025-05-13 15:30:21,-6.0,210.39,USD
2025-05-13 15:30:24,-5.0,210.5008,USD
2025-05-27 15:30:12,4.0,198.28,USD
2025-06-05 19:00:07,2.0,201.7198,USD
2025-06-05 19:02:12,-2.0,201.7002,USD
2025-06-05 19:44:00,-1.0,202.76,USD
2025-06-05 19:44:00,-3.0,202.76,USD
2025-06-09 15:30:15,4.0,204.34,USD
2025-06-09 18:47:43,4.0,204.6399,USD
2025-06-09 19:38:53,1.0,201.2,USD
2025-06-09 19:38:53,3.0,201.2,USD
2025-06-12 15:30:08,4.0,199.0,USD
2025-06-12 15:31:10,2.0,198.45,USD
2025-06-12 15:31:10,3.0,198.45,USD
2025-06-12 18:42:30,4.0,198.8699,USD
2025-06-13 21:39:17,2.0,196.33,USD
2025-06-13 21:39:17,5.0,196.33,USD
2025-06-13 21:40:14,8.0,196.2698,USD
2025-06-20 16:35:28,-40.0,198.25,USD
2025-06-24 21:51:29,9.0,200.4799,USD
2025-06-27 21:56:03,-9.0,201.13,USD
2025-08-18 15:45:20,4.0,231.8897,USD
2025-08-18 21:57:21,4.0,231.255,USD
2025-08-22 21:49:45,-8.0,228.0302,USD
