Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
12-09-2025 20:01:56;259067415;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;4.0;159.00;2.95;0.00;-638.95;1869.37;USD
12-09-2025 20:01:56;259067415;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;2.0;159.00;3.48;0.00;-321.48;2508.32;USD
12-09-2025 15:32:22;258886160;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;6.0;156.47;6.41;0.00;-945.23;1972.09;USD
09-09-2025 15:49:16;257929018;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;3.0;152.50;2.68;0.00;-460.18;132.06;USD
09-09-2025 15:49:16;257929018;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;2.0;152.50;3.46;0.00;-308.46;592.24;USD
19-08-2025 15:31:35;253245307;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;3.0;171.00;2.77;0.00;-515.77;1640.33;USD
19-08-2025 15:31:35;253245307;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;171.00;3.26;0.00;-174.26;2156.10;USD
18-08-2025 15:44:17;253058451;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;5.0;177.5295;6.33;0.00;-893.98;7932.21;USD
13-08-2025 15:35:12;251951175;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.05;0.00;0.00;0.05;4109.68;USD
13-08-2025 15:35:12;251981978;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.05;0.00;0.00;0.05;4109.63;USD
13-08-2025 15:31:24;251981978;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;11.0;182.50;33.91;0.00;1973.59;4109.58;USD
13-08-2025 15:31:23;251951175;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;11.0;182.50;33.91;0.00;1973.59;2135.99;USD
12-08-2025 15:31:36;251929940;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;8.0;171.00;7.05;0.00;-1375.05;5671.24;USD
12-08-2025 15:31:35;251929940;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;3.0;171.00;6.62;0.00;-519.62;7046.29;USD
11-08-2025 17:33:44;251758636;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.04;0.00;0.00;0.04;3675.09;USD
11-08-2025 17:33:42;251758636;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;7.0;178.00;6.90;0.00;1239.10;3675.05;USD
11-08-2025 17:33:42;251758636;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;3.0;178.00;6.66;0.00;527.34;2435.95;USD
08-08-2025 17:45:16;251242377;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;11.0;172.0496;13.69;0.00;-1906.24;1898.08;USD
05-08-2025 20:43:26;250456871;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;176.2299;13.49;0.00;-1775.79;94.22;USD
01-08-2025 15:50:25;249428553;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.11;0.00;0.00;0.11;6794.53;USD
01-08-2025 15:50:22;249428553;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;30.0;167.1601;37.63;0.00;4977.17;6794.42;USD
01-08-2025 15:30:20;249421902;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;169.50;12.54;0.00;-1707.54;1863.33;USD
01-08-2025 15:30:19;249421219;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;169.50;12.54;0.00;-1707.54;3570.87;USD
01-08-2025 15:30:17;249421817;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;169.50;12.54;0.00;-1707.54;5278.41;USD
31-07-2025 19:33:04;249233462;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.12;0.00;0.00;0.12;10301.23;USD
31-07-2025 19:33:02;249233462;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;22.0;176.97;25.93;0.00;3867.41;10301.11;USD
31-07-2025 19:33:02;249233462;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;8.0;176.97;13.00;0.00;1402.76;6433.70;USD
30-07-2025 15:31:20;248825274;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.04;0.00;0.00;0.04;3593.24;USD
30-07-2025 15:31:13;248825247;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.04;0.00;0.00;0.04;3593.20;USD
30-07-2025 15:30:13;248825274;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;175.45;13.52;0.00;1740.98;3593.16;USD
30-07-2025 15:30:11;248825247;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;175.45;13.52;0.00;1740.98;1852.18;USD
29-07-2025 15:44:34;248608671;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;45.0;178.24;42.88;0.00;-8063.68;1712.30;USD
28-07-2025 15:30:22;248293988;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;5.0;169.00;7.12;0.00;-852.12;130.42;USD
24-07-2025 15:31:01;247416344;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.04;0.00;0.00;0.04;9704.25;USD
24-07-2025 15:30:59;247416368;Rettif. costi Borsa;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;1.0;0.04;0.00;0.00;0.04;9704.17;USD
24-07-2025 15:30:06;247416344;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;159.07;13.28;0.00;1577.42;7859.27;USD
24-07-2025 15:30:06;247416368;Vendita;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;10.0;159.07;13.28;0.00;1577.42;6281.85;USD
22-07-2025 17:20:46;247012404;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;15.0;153.10;28.44;0.00;-2324.94;3050.08;USD
22-07-2025 17:20:46;247012404;Acquisto;AMD;ADVANCED MICRO DEVICES ORD;US0079031078;5.0;153.10;6.15;0.00;-771.65;5375.02;USD
