date,quantity,price
2025-05-16,7.0,117.8896
2025-06-05,-3.0,116.6802
2025-06-05,-4.0,117.0501
2025-07-16,6.0,153.7597
2025-07-17,2.0,159.59
2025-07-17,4.0,159.59
2025-07-21,6.0,157.78
2025-07-21,12.0,157.67
2025-07-21,10.0,158.3096
2025-07-22,-10.0,151.01
2025-07-22,-30.0,151.01
2025-07-22,15.0,153.1
2025-07-22,5.0,153.1
2025-07-24,-10.0,159.07
2025-07-24,-10.0,159.07
2025-07-28,5.0,169.0
2025-07-29,45.0,178.24
2025-07-30,-10.0,175.45
2025-07-30,-10.0,175.45
2025-07-31,-8.0,176.97
2025-07-31,-22.0,176.97
2025-08-01,10.0,169.5
2025-08-01,10.0,169.5
2025-08-01,10.0,169.5
2025-08-01,-30.0,167.1601
2025-08-05,10.0,176.2299
2025-08-08,11.0,172.0496
2025-08-11,-3.0,178.0
2025-08-11,-7.0,178.0
2025-08-12,3.0,171.0
2025-08-12,8.0,171.0
2025-08-13,-11.0,182.5
2025-08-13,-11.0,182.5
2025-08-18,5.0,177.5295
2025-08-19,1.0,171.0
2025-08-19,3.0,171.0
2025-09-09,2.0,152.5
2025-09-09,3.0,152.5
2025-09-12,6.0,156.47
2025-09-12,2.0,159.0
2025-09-12,4.0,159.0
