Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
12-09-2025 20:00:19;259067349;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.02;0.00;0.00;0.02;2829.80;USD
12-09-2025 20:00:17;259067349;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;8.0;108.0007;6.32;0.00;857.69;2829.78;USD
10-09-2025 15:35:18;258240828;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.02;0.00;0.00;0.02;2041.64;USD
10-09-2025 15:32:42;258240828;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;6.0;115.50;3.05;0.00;689.95;2041.62;USD
10-09-2025 15:32:42;258240828;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;2.0;115.50;3.36;0.00;227.64;1351.67;USD
10-09-2025 15:32:21;258233424;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.02;0.00;0.00;0.02;1124.03;USD
10-09-2025 15:30:16;258233424;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;9.0;110.9406;6.52;0.00;991.95;1124.01;USD
09-09-2025 15:35:37;257926860;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.02;0.00;0.00;0.02;900.70;USD
09-09-2025 15:34:15;257926860;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;6.0;100.70;2.92;0.00;601.28;900.68;USD
09-09-2025 15:34:15;257926860;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;3.0;100.70;3.46;0.00;298.64;299.40;USD
02-09-2025 19:06:59;256301965;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;15.0;91.7793;12.07;0.00;-1388.76;60.58;USD
29-08-2025 17:39:16;255484949;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;19.0;99.1995;12.83;0.00;-1897.62;69.53;USD
28-08-2025 15:49:23;254884618;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.04;0.00;0.00;0.04;3814.51;USD
28-08-2025 15:49:21;254884618;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;13.0;105.00;7.08;0.00;1357.92;3814.47;USD
28-08-2025 15:49:21;254884618;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;5.0;105.00;5.80;0.00;519.20;2456.55;USD
27-08-2025 21:44:54;254894959;Rettif. costi Borsa;CRWV;COREWEAVE CL A ORD;US21873S1087;1.0;0.04;0.00;0.00;0.04;1937.35;USD
27-08-2025 21:44:51;254894959;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;14.0;97.00;9.06;0.00;1348.94;1937.31;USD
27-08-2025 21:44:51;254894959;Vendita;CRWV;COREWEAVE CL A ORD;US21873S1087;5.0;97.00;3.74;0.00;481.26;588.37;USD
22-08-2025 21:54:16;253912323;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;10.0;93.8494;6.41;0.00;-944.90;107.11;USD
18-08-2025 21:51:17;253100027;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;9.0;97.00;6.31;0.00;-879.31;3261.77;USD
18-08-2025 16:16:21;253049494;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;6.0;99.02;2.89;0.00;-597.01;4488.60;USD
18-08-2025 16:16:21;253049494;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;3.0;99.02;3.45;0.00;-300.51;5085.61;USD
18-08-2025 15:46:02;253049124;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;6.0;101.06;2.91;0.00;-609.27;6082.36;USD
18-08-2025 15:46:02;253049124;Acquisto;CRWV;COREWEAVE CL A ORD;US21873S1087;3.0;101.06;3.45;0.00;-306.63;6691.63;USD
