date,quantity,price,currency
2025-08-18 15:46:02,3.0,101.06,USD
2025-08-18 15:46:02,6.0,101.06,USD
2025-08-18 16:16:21,3.0,99.02,USD
2025-08-18 16:16:21,6.0,99.02,USD
2025-08-18 21:51:17,9.0,97.0,USD
2025-08-22 21:54:16,10.0,93.8494,USD
2025-08-27 21:44:51,-5.0,97.0,USD
2025-08-27 21:44:51,-14.0,97.0,USD
2025-08-28 15:49:21,-5.0,105.0,USD
2025-08-28 15:49:21,-13.0,105.0,USD
2025-08-29 17:39:16,19.0,99.1995,USD
2025-09-02 19:06:59,15.0,91.7793,USD
2025-09-09 15:34:15,-3.0,100.7,USD
2025-09-09 15:34:15,-6.0,100.7,USD
2025-09-10 15:30:16,-9.0,110.9406,USD
2025-09-10 15:32:42,-2.0,115.5,USD
2025-09-10 15:32:42,-6.0,115.5,USD
2025-09-12 20:00:17,-8.0,108.0007,USD
