Data;Ordine #;Transazioni;Simbolo;Nome;ISIN;Quantità;Prezzo unit.;Costi;Interesse maturati;Importo netto;Saldo;Valuta
14-09-2025 22:14:16;259293201;Vendita;ETH;ETH;EX0X00ETH000;0.01608242;3930.60;0.63;0.00;62.58;89.63;EUR
09-09-2025 10:00:22;257877949;Acquisto;ETH;ETH;EX0X00ETH000;0.01076369;3716.20;0.40;0.00;-40.40;47.25;EUR
02-09-2025 10:00:18;256162527;Acquisto;ETH;ETH;EX0X00ETH000;0.00531873;3760.30;0.20;0.00;-20.20;38.15;EUR
15-08-2025 17:47:00;252669216;Vendita;ETH;ETH;EX0X00ETH000;1.0;4416.60;44.17;0.00;4372.43;9260.23;USD
15-08-2025 17:47:00;252669216;Vendita;ETH;ETH;EX0X00ETH000;1.0;4417.30;44.17;0.00;4373.13;4887.80;USD
14-08-2025 20:22:16;252460771;Acquisto;ETH;ETH;EX0X00ETH000;0.67;4500.00;30.15;0.00;-3045.15;514.67;USD
14-08-2025 15:16:11;252394061;Acquisto;ETH;ETH;EX0X00ETH000;0.33;4555.90;15.03;0.00;-1518.48;3682.50;USD
13-08-2025 15:55:33;252161484;Acquisto;ETH;ETH;EX0X00ETH000;0.5;4686.30;23.43;0.00;-2366.58;1743.10;USD
12-08-2025 21:38:19;251984073;Acquisto;ETH;ETH;EX0X00ETH000;0.1;3858.60;3.86;0.00;-389.72;90.50;EUR
12-08-2025 21:27:11;251982863;Acquisto;ETH;ETH;EX0X00ETH000;0.4;4500.30;18.00;0.00;-1818.12;162.40;USD
