date,quantity,price,currency
2025-04-08 15:36:48,6.0,103.48,USD
2025-04-08 15:36:48,15.0,103.48,USD
2025-05-02 15:30:09,-21.0,114.11,USD
2025-05-16 21:22:58,5.0,135.2099,USD
2025-05-28 15:57:14,1.0,135.26,USD
2025-05-28 15:57:14,1.0,135.26,USD
2025-06-05 19:43:05,-7.0,141.5401,USD
2025-06-06 21:09:28,2.0,142.1,USD
2025-06-06 21:09:28,4.0,142.1,USD
2025-06-12 18:39:10,-2.0,144.3,USD
2025-06-12 18:39:10,-4.0,144.3,USD
2025-07-16 17:43:43,5.0,169.6699,USD
2025-07-17 21:48:47,5.0,173.2499,USD
2025-07-22 15:53:36,-10.0,165.445,USD
2025-07-22 17:20:28,20.0,168.0699,USD
2025-07-24 15:30:05,-10.0,172.46,USD
2025-07-24 15:30:06,-10.0,172.46,USD
2025-07-29 20:46:58,9.0,176.4299,USD
2025-07-30 21:38:48,-9.0,178.8401,USD
2025-08-01 15:30:02,10.0,174.0,USD
2025-08-01 15:50:48,-10.0,171.3601,USD
2025-08-12 15:33:03,3.0,181.0,USD
2025-08-12 15:33:04,7.0,181.0,USD
2025-08-13 16:14:31,3.0,181.0,USD
2025-08-13 16:14:31,6.0,181.0,USD
2025-08-13 17:19:00,-10.0,179.905,USD
2025-08-13 17:19:52,-9.0,180.295,USD
2025-08-18 15:42:30,5.0,182.5999,USD
2025-08-21 17:12:01,1.0,175.0,USD
2025-08-21 17:12:01,3.0,175.0,USD
2025-09-02 17:02:32,11.0,169.415,USD
2025-09-08 15:35:05,2.0,169.14,USD
2025-09-08 15:35:05,4.0,169.14,USD
