date,quantity,price
2025-06-06,2.0,125.0
2025-06-06,5.0,125.0
2025-06-09,-2.0,129.98
2025-06-09,-5.0,129.98
2025-06-27,15.0,131.2
2025-07-01,3.0,130.0
2025-07-01,6.0,130.0
2025-07-07,-6.0,134.36
2025-07-07,-6.0,134.36
2025-07-07,-6.0,134.36
2025-07-07,-6.0,134.36
2025-07-15,2.0,148.5
2025-07-15,4.0,148.5
2025-07-15,2.0,148.51
2025-07-15,4.0,148.51
2025-07-22,-9.0,145.3
2025-07-22,-3.0,145.3
2025-08-01,10.0,155.04
2025-08-01,-10.0,151.4305
2025-08-18,4.0,176.9496
2025-08-18,1.0,172.55
2025-08-18,3.0,172.55
2025-08-18,1.0,172.0
2025-08-18,1.0,172.0
2025-08-19,2.0,168.0
2025-08-19,3.0,168.0
2025-08-22,6.0,158.5598
2025-09-02,-6.0,156.72
2025-09-02,-15.0,156.72
