date,quantity,price,currency
2025-06-06 15:42:49,2.0,125.0,USD
2025-06-06 15:42:50,5.0,125.0,USD
2025-06-09 18:43:47,-2.0,129.98,USD
2025-06-09 18:43:47,-5.0,129.98,USD
2025-06-27 21:59:09,15.0,131.2,USD
2025-07-01 20:50:33,3.0,130.0,USD
2025-07-01 20:50:33,6.0,130.0,USD
2025-07-07 15:30:13,-6.0,134.36,USD
2025-07-07 15:30:13,-6.0,134.36,USD
2025-07-07 15:30:13,-6.0,134.36,USD
2025-07-07 15:30:14,-6.0,134.36,USD
2025-07-15 15:45:56,2.0,148.5,USD
2025-07-15 15:45:57,4.0,148.5,USD
2025-07-15 21:36:15,2.0,148.51,USD
2025-07-15 21:36:15,4.0,148.51,USD
2025-07-22 15:54:15,-9.0,145.3,USD
2025-07-22 15:54:15,-3.0,145.3,USD
2025-08-01 15:30:01,10.0,155.04,USD
2025-08-01 15:51:01,-10.0,151.4305,USD
2025-08-18 15:43:29,4.0,176.9496,USD
2025-08-18 16:05:20,1.0,172.55,USD
2025-08-18 16:05:20,3.0,172.55,USD
2025-08-18 19:09:36,1.0,172.0,USD
2025-08-18 19:09:36,1.0,172.0,USD
2025-08-19 15:33:49,2.0,168.0,USD
2025-08-19 15:33:49,3.0,168.0,USD
2025-08-22 21:53:56,6.0,158.5598,USD
2025-09-02 16:52:47,-6.0,156.72,USD
2025-09-02 16:52:47,-15.0,156.72,USD
