date,quantity,price
2025-04-02,1.0,278.98
2025-04-02,3.0,278.98
2025-04-07,-3.0,235.25
2025-04-07,-1.0,235.25
2025-06-03,1.0,349.99
2025-06-03,2.0,349.99
2025-06-04,1.0,331.9094
2025-06-05,3.0,305.7995
2025-06-05,2.0,303.54
2025-06-05,6.0,303.54
2025-06-05,-15.0,275.4104
2025-06-06,5.0,295.8395
2025-06-10,-2.0,319.9
2025-06-10,-3.0,319.9
2025-06-20,19.0,321.8493
2025-06-23,-5.0,331.9
2025-06-23,-14.0,331.9
2025-06-24,5.0,342.2093
2025-06-25,2.0,324.1
2025-06-25,3.0,324.1
2025-06-25,5.0,323.7196
2025-06-25,1.0,323.9
2025-06-25,2.0,323.9
2025-07-07,5.0,294.822
2025-07-07,5.0,294.924
2025-07-08,2.0,301.8995
2025-07-09,1.0,295.0
2025-07-15,-1.0,320.9
2025-07-15,-2.0,320.9
2025-07-15,-1.0,311.0
2025-07-15,-2.0,311.0
2025-07-16,-1.0,320.9
2025-07-16,-1.0,320.9
2025-07-16,-1.0,320.9
2025-07-16,-2.0,320.9
2025-07-16,-2.0,320.9
2025-07-16,-2.0,320.9
2025-07-17,-1.0,321.67
2025-07-17,-2.0,321.67
2025-07-18,-1.0,325.9
2025-07-18,-2.0,325.9
2025-07-18,-2.0,329.99
2025-07-18,-3.0,329.99
2025-07-21,-5.0,330.065
2025-07-23,5.0,331.435
2025-07-23,1.0,332.2992
2025-07-24,-6.0,309.75
2025-07-24,30.0,302.7295
2025-07-29,-30.0,320.975
2025-07-30,3.0,321.1
2025-07-30,2.0,321.1
2025-07-30,2.0,318.1
2025-07-30,4.0,318.1
2025-07-30,5.0,316.5896
2025-07-31,-16.0,313.5102
2025-08-01,2.0,307.5
2025-08-01,3.0,307.5
2025-08-01,-2.0,303.2
2025-08-01,-3.0,303.2
2025-08-01,8.0,302.52
2025-08-01,24.0,302.52
2025-08-05,-6.0,309.1503
2025-08-06,-2.0,309.9
2025-08-06,-4.0,309.9
2025-08-07,-20.0,322.1501
2025-08-28,5.0,343.3397
2025-08-29,-5.0,336.62
