date,quantity,price,currency
2025-04-02 17:43:41,1.0,278.98,USD
2025-04-02 17:43:41,3.0,278.98,USD
2025-04-07 16:11:00,-3.0,235.25,CHF
2025-04-07 16:11:00,-1.0,235.25,CHF
2025-06-03 17:54:15,1.0,349.99,USD
2025-06-03 17:54:15,2.0,349.99,USD
2025-06-04 16:26:41,1.0,331.9094,USD
2025-06-05 19:07:53,3.0,305.7995,USD
2025-06-05 19:46:09,2.0,303.54,USD
2025-06-05 19:46:09,6.0,303.54,USD
2025-06-05 21:22:49,-15.0,275.4104,USD
2025-06-06 21:55:41,5.0,295.8395,USD
2025-06-10 19:24:32,-2.0,319.9,USD
2025-06-10 19:24:32,-3.0,319.9,USD
2025-06-20 17:40:50,19.0,321.8493,USD
2025-06-23 15:31:06,-5.0,331.9,USD
2025-06-23 15:31:06,-14.0,331.9,USD
2025-06-24 21:50:07,5.0,342.2093,USD
2025-06-25 20:31:09,2.0,324.1,USD
2025-06-25 20:31:10,3.0,324.1,USD
2025-06-25 20:53:01,5.0,323.7196,USD
2025-06-25 20:55:01,1.0,323.9,USD
2025-06-25 20:55:01,2.0,323.9,USD
2025-07-07 16:10:00,5.0,294.822,USD
2025-07-07 16:10:46,5.0,294.924,USD
2025-07-08 17:51:34,2.0,301.8995,USD
2025-07-09 16:28:09,1.0,295.0,USD
2025-07-15 15:34:05,-1.0,320.9,USD
2025-07-15 15:34:05,-2.0,320.9,USD
2025-07-15 21:25:21,-1.0,311.0,USD
2025-07-15 21:25:22,-2.0,311.0,USD
2025-07-16 16:51:28,-1.0,320.9,USD
2025-07-16 16:51:28,-1.0,320.9,USD
2025-07-16 16:51:28,-1.0,320.9,USD
2025-07-16 16:51:28,-2.0,320.9,USD
2025-07-16 16:51:28,-2.0,320.9,USD
2025-07-16 16:51:28,-2.0,320.9,USD
2025-07-17 17:54:21,-1.0,321.67,USD
2025-07-17 17:54:21,-2.0,321.67,USD
2025-07-18 15:48:28,-1.0,325.9,USD
2025-07-18 15:48:28,-2.0,325.9,USD
2025-07-18 20:08:44,-2.0,329.99,USD
2025-07-18 20:08:45,-3.0,329.99,USD
2025-07-21 15:47:15,-5.0,330.065,USD
2025-07-23 20:08:44,5.0,331.435,USD
2025-07-23 20:20:25,1.0,332.2992,USD
2025-07-24 15:30:11,-6.0,309.75,USD
2025-07-24 19:12:28,30.0,302.7295,USD
2025-07-29 15:42:47,-30.0,320.975,USD
2025-07-30 16:41:46,3.0,321.1,USD
2025-07-30 16:41:46,2.0,321.1,USD
2025-07-30 19:16:28,2.0,318.1,USD
2025-07-30 19:16:28,4.0,318.1,USD
2025-07-30 21:52:40,5.0,316.5896,USD
2025-07-31 16:58:44,-16.0,313.5102,USD
2025-08-01 15:31:09,2.0,307.5,USD
2025-08-01 15:31:09,3.0,307.5,USD
2025-08-01 15:49:41,-2.0,303.2,USD
2025-08-01 15:49:41,-3.0,303.2,USD
2025-08-01 21:11:13,8.0,302.52,USD
2025-08-01 21:11:13,24.0,302.52,USD
2025-08-05 20:39:46,-6.0,309.1503,USD
2025-08-06 15:32:40,-2.0,309.9,USD
2025-08-06 15:32:40,-4.0,309.9,USD
2025-08-07 21:56:55,-20.0,322.1501,USD
2025-08-28 18:39:48,5.0,343.3397,USD
2025-08-29 17:38:05,-5.0,336.62,USD
